have;who;amount
Да;Кот;Нет
Да;Другие;Нет
Да;Кот;Да
Да;Кот;Нет
Нет;;Да
Да;Попугай;Нет
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Да;Другие;Да
Да;Кот;Нет
Да;Кот;Нет
Да;Кот;Нет
Да;Собака;Нет
Нет;;Нет
Да;Собака;Нет
Да;Кот;Нет
Да;Рыбка;Да
Нет;;Нет
Да;Кот;Нет
Нет;;Нет
Да;Собака;Нет
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Да;Кот;Нет
Да;Кот;Да
Нет;Другие;Нет
Нет;;Нет
Да;Кот;Нет
Да;Кот;Нет
Да;Кот;Да
Нет;;Да
Да;Кот;Нет
Да;Собака;Нет
Да;Кот;Нет
Нет;Другие;Нет
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Нет;;Нет
Нет;;Нет
Да;Собака;Нет
Да;Кот;Нет
Нет;;Нет
Да;Собака;Нет
Нет;;Нет
Да;Кот;Нет
Нет;;Нет
Нет;;Нет
Да;Кот;Нет
Да;Кот;Да
Да;Кот;Нет
Да;Кот;Нет
Да;Кот;Нет
Да;Кот;Да
Да;Собака;Нет
Нет;;Нет
Да;Кот;Нет
Нет;;Нет
Да;Кот;Нет
Да;Собака;Да
Нет;;Да
Да;Кот;Нет
Да;Собака;Нет
Нет;;Нет
Нет;;Нет
Нет;;Нет
Да;Кот;Нет
Да;Кот;Да
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Нет;;Нет
Да;Другие;Нет
Да;Кот;Нет
Нет;;Нет
Да;Кот;Нет
Да;Собака;Нет
Да;Кот;Нет
Да;Кот;Да
Да;Кот;Нет
Нет;Другие;Да
Да;Другие;Нет
Да;Кот;Нет
Да;Собака;Нет
Да;Кот;Да
Нет;;Нет
Да;Кот;Нет
Да;Кот;Нет
Нет;;Нет
Да;Кот;Нет
